epoch,objective,mean_loss,variance,cvar,terminal_penalty,avg_terminal_inventory_fraction,avg_participation_used
1,0.0011243080953136086,0.0010903485817834735,6.791895430069417e-05,0.01529020071029663,0.0,0.0,0.01784111186861992
2,0.0007995233172550797,0.0007532422314397991,9.256222256226465e-05,0.024695174768567085,0.0,0.0,0.017621219158172607
3,0.0005114631494507194,0.0004845140501856804,5.389816215028986e-05,0.015559200197458267,0.0,0.0,0.01807500794529915
4,0.0015638017794117332,0.0015218781773000956,8.384725515497848e-05,0.016551300883293152,0.0,0.0,0.018565598875284195
5,0.0016132028540596366,0.0015571968397125602,0.00011201191955478862,0.021860474720597267,0.0,0.0,0.017831746488809586
6,-0.0015330793103203177,-0.0015645844396203756,6.301033863564953e-05,0.010232474654912949,0.0,0.0,0.017127200961112976
7,0.0018847956089302897,0.001855920534580946,5.7750148698687553e-05,0.017257075756788254,0.0,0.0,0.017676763236522675
8,-0.0007070351275615394,-0.0007524171378463507,9.076404967345297e-05,0.01680704951286316,0.0,0.0,0.018046915531158447
9,0.0007726690964773297,0.0007302248850464821,8.48884810693562e-05,0.02318120002746582,0.0,0.0,0.017606642097234726
10,-0.00016476574819535017,-0.00019793439423665404,6.633729208260775e-05,0.014606401324272156,0.0,0.0,0.01827884279191494
11,0.00040806387551128864,0.0003631687432061881,8.979028643807396e-05,0.02067210152745247,0.0,0.0,0.0183557216078043
12,-0.0005656012217514217,-0.0006075577693991363,8.391308801947162e-05,0.014652950689196587,0.0,0.0,0.018023675307631493
13,0.0014981291024014354,0.001474518794566393,4.7220564738381654e-05,0.016312774270772934,0.0,0.0,0.01789345219731331
14,0.000497498142067343,0.0004629313189070672,6.913369725225493e-05,0.01779020205140114,0.0,0.0,0.01801386848092079
15,0.0001113430698751472,6.006243347655982e-05,0.00010256127279717475,0.018104076385498047,0.0,0.0,0.018104789778590202
16,0.0011179187567904592,0.0010807891376316547,7.42591728339903e-05,0.019352175295352936,0.0,0.0,0.017376821488142014
17,0.0005919116665609181,0.0005484530702233315,8.691723633091897e-05,0.018098024651408195,0.0,0.0,0.017756134271621704
18,-0.0016901586204767227,-0.0017329016700387,8.548605546820909e-05,0.014437399804592133,0.0,0.0,0.018202070146799088
19,0.0013389389496296644,0.0013017719611525536,7.433388236677274e-05,0.022777851670980453,0.0,0.0,0.01757260039448738
20,-0.0016349843936040998,-0.0016652983613312244,6.062803731765598e-05,0.012286124750971794,0.0,0.0,0.01753915473818779
21,-0.0008019785163924098,-0.0008368983981199563,6.983971979934722e-05,0.013426524586975574,0.0,0.0,0.017875753343105316
22,-0.0003902647877112031,-0.0004163405392318964,5.21514994034078e-05,0.013703051023185253,0.0,0.0,0.017346005886793137
23,0.00017067241424228996,0.0001394562714267522,6.24322856310755e-05,0.01598224975168705,0.0,0.0,0.01715577207505703
24,0.0016938940389081836,0.0016542138764634728,7.936025212984532e-05,0.019039923325181007,0.0,0.0,0.017791081219911575
25,-0.0009073348483070731,-0.0009406359167769551,6.660215876763687e-05,0.014823274686932564,0.0,0.0,0.017879456281661987
